Project,Strain,Treatment,Group,Run,SRAName,TrimmedPath_R1,FilteredPath_R1,TrimmedPath_R2,FilteredPath_R2
Crash,Wild,Starve,B,Crash4,SRR15066673,Trimmed/HPLOH_Crash_Wild_Starve_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_B_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Starve_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_B_Crash4_R2_filtered.fastq.gz
NoCrash,"NA",Larvac,,NoCrash,SRR15066681,Trimmed/HPLOH_NoCrash_NA_Larvac__NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_NA_Larvac__NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_NA_Larvac__NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_NA_Larvac__NoCrash_R2_filtered.fastq.gz
Crash,Wild,Pre,A,Crash4,SRR15066682,Trimmed/HPLOH_Crash_Wild_Pre_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_A_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_A_Crash4_R2_filtered.fastq.gz
NoCrash,Aqua,Starve,C,NoCrash,SRR15066683,Trimmed/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_C_NoCrash_R2_filtered.fastq.gz
NoCrash,Aqua,Starve,A,NoCrash,SRR15066685,Trimmed/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_A_NoCrash_R2_filtered.fastq.gz
NoCrash,Aqua,Fed,A,NoCrash,SRR15066688,Trimmed/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_A_NoCrash_R2_filtered.fastq.gz
NoCrash,Wild,Starve,A,NoCrash,SRR15066691,Trimmed/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_A_NoCrash_R2_filtered.fastq.gz
NoCrash,Wild,Fed,C,NoCrash,SRR15066693,Trimmed/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_C_NoCrash_R2_filtered.fastq.gz
NoCrash,Wild,Fed,B,NoCrash,SRR15066694,Trimmed/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_B_NoCrash_R2_filtered.fastq.gz
Crash,NEH,Starve,B,Crash4,SRR15066697,Trimmed/HPLOH_Crash_NEH_Starve_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Starve_B_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Starve_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Starve_B_Crash4_R2_filtered.fastq.gz
Crash,NEH,Pre,C,Crash4,SRR15066698,Trimmed/HPLOH_Crash_NEH_Pre_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_C_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_C_Crash4_R2_filtered.fastq.gz
Crash,NEH,Pre,A,Crash4,SRR15066700,Trimmed/HPLOH_Crash_NEH_Pre_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_A_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_A_Crash4_R2_filtered.fastq.gz
Crash,Wild,Pre,C,Crash4,SRR15066675,Trimmed/HPLOH_Crash_Wild_Pre_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_C_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_C_Crash4_R2_filtered.fastq.gz
Crash,Wild,Pre,B,Crash4,SRR15066676,Trimmed/HPLOH_Crash_Wild_Pre_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_B_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_B_Crash4_R2_filtered.fastq.gz
Blank,"NA","NA",3MAR2020,Crash4,SRR15066677,Trimmed/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R2_filtered.fastq.gz
Blank,"NA","NA",26FEB2020,Crash4,SRR15066678,Trimmed/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R2_filtered.fastq.gz
Crash,NEH,Fed,A,Crash4,SRR15066671,Trimmed/HPLOH_Crash_NEH_Fed_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Fed_A_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Fed_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Fed_A_Crash4_R2_filtered.fastq.gz
Mock,Staggered,"NA",,NoCrash,SRR15066679,Trimmed/HPLOH_Mock_Staggered_NA__NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_Mock_Staggered_NA__NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_Mock_Staggered_NA__NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_Mock_Staggered_NA__NoCrash_R2_filtered.fastq.gz
NoCrash,Aqua,Starve,B,NoCrash,SRR15066684,Trimmed/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R2_filtered.fastq.gz
Crash,Wild,Fed,C,Crash4,SRR15066692,Trimmed/HPLOH_Crash_Wild_Fed_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_C_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Fed_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_C_Crash4_R2_filtered.fastq.gz
Crash,NEH,Fed,C,Crash4,SRR15066701,Trimmed/HPLOH_Crash_NEH_Fed_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Fed_C_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Fed_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Fed_C_Crash4_R2_filtered.fastq.gz
Crash,Wild,Fed,B,Crash4,SRR15066703,Trimmed/HPLOH_Crash_Wild_Fed_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_B_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Fed_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_B_Crash4_R2_filtered.fastq.gz
NoCrash,Aqua,Fed,C,NoCrash,SRR15066686,Trimmed/HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_C_NoCrash_R2_filtered.fastq.gz
NoCrash,Aqua,Fed,B,NoCrash,SRR15066687,Trimmed/HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Fed_B_NoCrash_R2_filtered.fastq.gz
Crash,Wild,Starve,A,Crash4,SRR15066674,Trimmed/HPLOH_Crash_Wild_Starve_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_A_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Starve_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_A_Crash4_R2_filtered.fastq.gz
NoCrash,Wild,Fed,A,NoCrash,SRR15066695,Trimmed/HPLOH_NoCrash_Wild_Fed_A_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_A_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_A_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_A_NoCrash_R2_filtered.fastq.gz
Crash,NEH,Pre,B,Crash4,SRR15066699,Trimmed/HPLOH_Crash_NEH_Pre_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_B_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_B_Crash4_R2_filtered.fastq.gz
NoCrash,Wild,Fed,A,Crash4,SRR15066704,Trimmed/HPLOH_NoCrash_Wild_Fed_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_A_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Fed_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Fed_A_Crash4_R2_filtered.fastq.gz
NoCrash,Wild,Starve,C,NoCrash,SRR15066689,Trimmed/HPLOH_NoCrash_Wild_Starve_C_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_C_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_C_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_C_NoCrash_R2_filtered.fastq.gz
NoCrash,Wild,Starve,B,NoCrash,SRR15066690,Trimmed/HPLOH_NoCrash_Wild_Starve_B_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_B_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_B_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_B_NoCrash_R2_filtered.fastq.gz
Crash,Wild,Starve,C,Crash4,SRR15066672,Trimmed/HPLOH_Crash_Wild_Starve_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_C_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Starve_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Starve_C_Crash4_R2_filtered.fastq.gz
NoCrash,Wild,Starve,A,Crash4,SRR15066702,Trimmed/HPLOH_NoCrash_Wild_Starve_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_A_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Wild_Starve_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Wild_Starve_A_Crash4_R2_filtered.fastq.gz
Crash,NEH,Starve,C,Crash4,SRR15066696,Trimmed/HPLOH_Crash_NEH_Starve_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Starve_C_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Starve_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Starve_C_Crash4_R2_filtered.fastq.gz
Mock,Even,"NA",,NoCrash,SRR15066680,Trimmed/HPLOH_Mock_Even_NA__NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_Mock_Even_NA__NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_Mock_Even_NA__NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_Mock_Even_NA__NoCrash_R2_filtered.fastq.gz
Crash,Wild,Fed,A,Crash4,SRR15066705,Trimmed/HPLOH_Crash_Wild_Fed_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_A_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Fed_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_A_Crash4_R2_filtered.fastq.gz
